"state","name","gore","bush","buchanan","nader","browne","philips","hagelin","write","inc","abo","asian","college","black","hispanic","white","pop","density","dem92","perot92","rep92","rep96","dem96","perot96","brown96","phil96","nader96","hage96","oth96","vtot00","vtot96","vtot92","pblack","pgore","pbush","pbuchanan","pnader","prep92","pperot92","prep96","pperot96","county.fips","state.fips","new.population","new.white","new.black","new.native","new.asian","new.other","new.hispanic","name9","new.fips","cen99.white","cen99.whhisp","cen99.black","cen99.native","cen99.asian","cen99.hispanic","cen99.population","cen00.population","cen00.white","cen00.black","cen00.native","cen00.asian","cen00.other","cen00.hispanic"
"HI","HAWAII",  28670, 17050,  157, 4604,  276,  52,  51,   0,29712,  868, 68699,18.5,    615, 9.3,  47736, 130384,3.200000e+01,50.5,17.5,30.4, 13516,  27262,  5137,  422,  49, 2489, 102,   0,  50860,  48977, 98.4,NA,0.56370429,0.3352340,0.0030869052,0.0905230043,NA,NA,0.2759663,0.10488597,15001,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA, 148677,  46904,    698,  666,  56426,  43983,  14111
"HI","KAUAI",  13470,  6583,   84, 1474,  106,  17,  39,   0,37425,  178, 32093,16.3,    211,10.9,  17712,  54228,8.700000e+01,56.5, 9.3,33.1,  5325,  13357,  1568,  159,  27,  533,  51,   0,  21773,  21020, 98.9,NA,0.61865613,0.3023469,0.0038579893,0.0676985257,NA,NA,0.2533302,0.07459562,15007,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,  58463,  17255,    177,  212,  26376,  14443,   4803
"HI","MAUI",  23484, 12876,  122, 2499,  182,  46,  39,   0,38771,  521, 57885,17.8,    494, 7.8,  39766, 107887,9.300000e+01,51.1,17.9,30.0,  9323,  20600,  3264,  285,  39, 1277,  79,   0,  39248,  34867, 99.0,NA,0.59834896,0.3280677,0.0031084386,0.0636720342,NA,NA,0.2673875,0.09361287,15009,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA, 128094,  43421,    509,  479,  53458,  30227,  10050
"HI","HONOLULU", 139618,101310,  708,13037,  912, 228, 177,   0,40581, 3532,526459,24.6,  25875, 6.8, 264372, 863117,1.438000e+03,46.6,13.4,39.1, 85779, 143793, 17389, 1627, 243, 6087, 338,   0, 255990, 255256, 99.1,NA,0.54540412,0.3957576,0.0027657330,0.0509277706,NA,NA,0.3360509,0.06812377,15003,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA, 876156, 186484,  20619, 2178, 481051, 185824,  58729
"DE","KENT",  22790, 24081,  141, 1082,   92,  45,  16,   0,29497,NA,NA,15.0,NA,NA,NA, 116062,1.960000e+02,NA,NA,NA, 15932,  18327,  4705,  189,  63,    0,  36,   0,  48247,  39252,NA,NA,0.47236098,0.4991191,0.0029224615,0.0224262648,NA,NA,0.4058901,0.11986650,10001,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA, 126697,  93106,  26180,  806,   2187,   4418,   4069
"DE","NEW CASTLE", 127539, 78587,  345, 5767,  590,  98,  69,   0,38617,NA,NA,25.2,NA,NA,NA, 455006,1.067000e+03,NA,NA,NA, 60943,  98837, 17748, 1667, 168,    0, 183,   0, 212995, 179546,NA,NA,0.59878870,0.3689617,0.0016197563,0.0270757530,NA,NA,0.3394283,0.09884932,10003,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA, 500265, 365810, 101167,  979,  13115,  19194,  26293
"DE","SUSSEX",  29739, 34620,  291, 1458,   92,  65,  22,   0,26904,NA,NA,13.0,NA,NA,NA, 119816,1.280000e+02,NA,NA,NA, 22187,  23191,  6266,  196, 117,    0,  55,   0,  66287,  52012,NA,NA,0.44864000,0.5222744,0.0043900011,0.0219952630,NA,NA,0.4265746,0.12047220,10005,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA, 156638, 125857,  23319,  946,   1240,   5276,   6915
"RI","BRISTOL",  13424,  8375,  107, 1283,   36,   4,  16,   7,37539,NA,NA,27.4,NA,NA,NA,  48855,1.978000e+03,NA,NA,NA,  6988,  12257,  1990,   64,  57,  283,  28,   4,  23252,  21671,NA,NA,0.57732668,0.3601841,0.0046017547,0.0551780492,NA,NA,0.3224586,0.09182779,44001,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,  50648,  49034,    349,   82,    519,    664,    572
"RI","KENT",  43265, 25291,  480, 4140,  135,  17,  40,  46,36070,NA,NA,20.5,NA,NA,NA, 162493,9.550000e+02,NA,NA,NA, 19992,  41018,  9240,  166, 176,  839,  61,  34,  73414,  71526,NA,NA,0.58932901,0.3444983,0.0065382625,0.0563925137,NA,NA,0.2795068,0.12918379,44003,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA, 167090, 159645,   1558,  388,   2273,   3226,   2827
"RI","NEWPORT",  20790, 14258,  158, 2427,   96,   8,  31,  28,35829,NA,NA,30.1,NA,NA,NA,  86717,8.330000e+02,NA,NA,NA, 11500,  18951,  3785,  121,  97,  583,  48,  11,  37796,  35096,NA,NA,0.55005821,0.3772357,0.0041803365,0.0642131442,NA,NA,0.3276727,0.10784705,44005,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,  85433,  78136,   3184,  365,   1110,   2638,   2409
"RI","PROVIDENCE", 142469, 61378, 1271,12352,  339,  48, 133, 170,29580,NA,NA,18.3,NA,NA,NA, 590591,1.429000e+03,NA,NA,NA, 49901, 134866, 22724,  604, 520, 3165, 225, 117, 218160, 212122,NA,NA,0.65304822,0.2813440,0.0058259993,0.0566189952,NA,NA,0.2352467,0.10712703,44007,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA, 621602, 487235,  40685, 3143,  18442,  72097,  83232
"RI","WASHINGTON",  29560, 21253,  257, 4850,  136,  20,  51,  34,36948,NA,NA,29.1,NA,NA,NA, 112688,3.390000e+02,NA,NA,NA, 16302,  25958,  5984,  154, 171, 1170,  73,  20,  56161,  49832,NA,NA,0.52634390,0.3784299,0.0045761293,0.0863588611,NA,NA,0.3271392,0.12008348,44009,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA, 123546, 117141,   1132, 1143,   1888,   2242,   1780
"AK","Aleutians East Borough",     85,   295,   12,   17,    4,   1,   0,   3,42384,NA,NA,12.9,NA,NA,NA,   2464,3.527660e-01,NA,NA,NA,   157,    175,    27,    1,   0,    2,   2,   2,    417,    366,NA,NA,0.20383693,0.7074341,0.0287769784,0.0407673861,NA,NA,0.4289617,0.07377049, 2013, 2,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,   2697,    646,     45, 1005,    723,    278,    339
"AK","Aleutians West Census Area",    371,   458,   12,   84,    7,   3,   4,   1,35187,NA,NA,14.8,NA,NA,NA,   9478,2.153063e+00,NA,NA,NA,   327,    437,   136,   10,   5,   15,   3,   0,    940,    933,NA,NA,0.39468085,0.4872340,0.0127659574,0.0893617021,NA,NA,0.3504823,0.14576635, 2016, 2,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,   5465,   2188,    165, 1145,   1378,    589,    573
