obs  precinct  busha bushm gorea gorem brownea brownem nadera naderm harrisa harrism hagelina hagelinm buchanana buchananm mcreynoldsa mcreynoldsm phillipsa phillipsm mooreheada mooreheadm undera underm overa overm
1 1   494 496  536  537 3 2 16 16 0 0 0 0  6  6 0 0 1 0 0 0 15 12  47  48
2 1A  676 680  269  269 1 1 10 10 0 0 0 0  5  5 0 0 0 0 0 0 15 11  20  20
3 1B  527 527  491  492 1 1 10 10 1 1 0 0  4  4 1 1 0 0 0 0 13 12  32  32
4 1C  590 590  406  406 4 4 21 21 0 0 2 2  2  2 2 2 0 0 0 0  9  9  24  24
5 2   824 825  656  656 2 2 18 18 0 0 1 1  6  6 2 2 1 1 0 0 15 13  41  42
6 3   606 606  770  770 3 3 33 33 0 0 0 0  6  6 0 0 2 2 0 0 18 18  49  49
7 3A  249 249  266  265 0 0 13 13 0 0 0 0  5  5 2 2 0 0 0 0  6  6  15  16
8 3B  238 239  333  333 1 1  4  4 0 0 0 0  4  4 0 0 0 0 0 0  5  4  10  10
9 3C  648 649  534  534 4 4 10 10 0 0 0 0  6  6 0 0 0 0 0 0 12 11  20  20
10 4   359 359  429  429 1 1 19 19 0 0 0 0  5  5 0 0 0 0 0 0 13 13  23  23
11 4A  419 420  383  383 1 1 14 15 0 0 0 0  6  6 1 1 0 0 0 0 24 22  24  24
12 4B  578 578  496  498 2 2 28 28 0 0 0 0  7  7 1 1 1 1 0 0 13 11  32  32
13 4C  280 280  281  281 1 1  3  3 0 0 0 0  2  2 0 0 0 0 0 0  3  3  12  12
14 4D  519 519  624  625 7 7 16 16 1 1 0 0  6  6 0 0 0 0 0 0 16 15  41  41
15 4E  318 320  310  311 1 1 14 14 0 0 0 0  5  5 0 0 0 0 0 0 11  8  17  17
16 4F    0   0    0    0 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  0  0   0   0
17 5   209 211  337  335 2 2 10 10 0 0 1 1  0  1 1 1 1 1 0 0 12 10  22  23
18 5A  521 521  666  666 0 0 14 14 1 1 3 3  6  6 0 0 0 0 0 0  8  8  51  51
