precinct      mccollum    nelson simonetta   deckard     logan    martin  mccormick   writein
  0001           472       565        10         4        20         2          7         0
  001A           650       307         2         1         3         1          0         0
  001B           488       514         7         5        14         1          1         0
  001C           554       428         9         4        12         3          6         0
  0002           794       664        13         4        17         2          4         0
  0003           607       765        13         5        21         4          8         0
  003A           246       259         7         7         8         1          0         0
  003B           233       330         3         1         3         0          1         0
  003C           635       526         4         4         8         0          3         0
  0004           354       433        12         4        12         3          3         0
  004A           408       396         9         0         7         4          2         0
  004B           576       496        13         3        14         2          6         0
  004C           284       274         2         0         1         2          0         0
  004D           509       637        10         2         8         2          3         0
  004E           314       323         4         0         5         0          2         0
  004F             0         0         0         0         0         0          0         0
  0005           223       330         4         0         7         0          6         0
  005A           532       615        16         8        11         3          8         0
  005B           758       840        20         4        13         3          2         0
  005C           301       299         5         2         6         0          2         0
  005D           434       516         9         2        15         9         10         0
  005E           267       201         2         0         6         0          0         0
  0006           613       636         9         4        19         1          9         0
  006A           407       407        11         6        18         2          5         0
  006B           109       197         2         5         8         5          2         0
  006C           477       419         9         5        13         0          4         0
  0007           601       485         7         7        10         0          5         0
  007A            14        17         0         0         0         0          0         0
  0008           509       429         9         3        10         1          1         0
  008A           305       195         2         2         0         1          0         0
  0012           235       282         4         4         9         1          1         0
  012A           615       613        11        10        18         1         13         0
  012B           212       158         3         1         6         2          3         0
  012C           731       707         6        12        25         2         11         0
  012D           516       505        11         3        17         2          8         0
  012E             0         0         0         0         0         0          0         0
  0013           386       768         9         3        15         2          5         0
  013A            70       132         3         2         0         0          1         0
  013B            50        84         2         1         1         0          1         0
  013C           108       196         1         0         2         4          1         0
  013D            22        24         1         0         1         0          0         0
  0014           548       360        11         1         8         2          3         0
  0016           688       694        10         5        20         0          7         0
  016A           241       688         4         3         3         1          4         0
  0017           206       253         5         2         8         0          6         0
  017B            79        96         1         1         0         1          1         0
  0018           230       412         7         2         9         7          4         0
  018A           432       786         8         4        10         7          5         0
  018B           385       754        11         3        14         5          2         0
  018C           417       915        11         4        15         1          7         0
  018D           578     1023        12         8        21         2          4         0
  018E            95       150         4         2         1         5          2         0
  018F           111       206         5         0         0         3          2         0
  018G            25        18         0         0         1         0          1         0
  018H             9        33         0         0         0         0          0         0
  018I            81       152         1         1         6         1          0         0
  018J           402       892        15         2        13         1          6         0
  0019           391     1230         9        10         8         4          5         0
  019A           521       732        10         2        11         2          7         0
  0020            86       426         2         1         1         0          0         0
  0021            73       409         6         1         0         0          4         0
  021A             3        65         1         0         1         0          0         0
  0022            85       740        10         1         4         3          3         0
  0023            90       507         7         3         2         2          1         0
  0024           167     1185         5         1         5         4          2         0
  0025           224       246         2         3         2         1          0         0
  025A           170       160         4         0         5         1          0         0
  025B           214       235         5         2         6         3          1         0
  0026           226       275         2         1        16         2          1         0
  026A           265       462         3         1         9         6          5         0
  026B           222       310         7         1         4         1          5         0
  026C           306       240         1         5         5         2          1         0
  0027           273       683        12         2        10         4          4         0
  0028           645       390         6         0         6         0          3         0
  0029           262     1047        15         2         5         0          4         0
  029A           417       506         7         6        11         1          9         0
  029B            79       717         4         1         2         4          0         0
  029C           323       346         6         1        10         1          1         0
  029D           337       495         9         6         6         1          5         0
  029E             0         0         0         0         0         0          0         0
  029F             9        44         1         0         0         1          0         0
  0030           243       592         8         2        12         2          2         0
  030A           234       704         4         1         5         1          3         0
  030B           413       879        10         3        19         7          7         0
  0031           514       678        10         6        11         1          9         0
  031A           533       581         4         1        15         2          7         0
  031B           131       293         3         0         3         0          1         0
  031C           216       341         9         5        12         0          2         0
  031D           423       488         6         1         9         0          2         0
  031E           129        85         0         0         1         1          0         0
  031F             0         0         0         0         0         0          0         0
  031G             0         0         0         0         0         0          0         0
  031H             2         0         0         0         0         0          0         0
  0032           530       646        11         2        23         3          6         0
  032A           453       576        11         5        19         4          8         0
  0033           280        58         0         0         0         0          0         0
  0034           176       219         6         2         1         1          1         0
  0035             5        17         1         0         0         0          0         0
  0036            90        61         0         2         0         1          1         0
  0037           274       288         5         4         7         2          6         0
  0038             8       138         0         0         1         0          1         0
  038A             1         1         0         0         0         0          0         0
  0039           247       259         6         2        13         0          3         0
  0040            61       419         4         0         1         0          1         0
  0041           609       852        14        14        29         1         10         0
  041A           354       361         5         2        15         3          9         0
  041B           676       815        20         7        22         4         15         0
  041C           413       457         9         4        13         1          6         0
  041D           485       627         7         6        10         4         10         0
  0042           529       640        11         2        12         4          4         0
  042A           385       319         6         3         9         2          1         0
  0043            26        55         0         0         0         0          0         0
  0044            82       174         2         0         3         0          1         0
  044A            31       182         1         2         6         1          1         0
  044B            41       201         0         1         9         1          1         0
  044C            35        42         0         0         1         0          0         0
  044D             0         0         0         0         0         0          0         0
  044E             0         0         0         0         0         0          0         0
  0045           518       669        11         1        16         2          8         0
  045A           384       516         8         2        15         1          1         0
  0046           113       151         3         0         4         0          3         0
  046A           128       170         4         1         4         0          2         0
  046B            15        26         0         0         0         0          0         0
  0047           453       584         9         5        14         1          2         0
  047A           702       666         9         2         9         1          2         0
  047B           433       471         3         4         5         0          1         0
  047C           680       666         7         0         9         2          2         0
  047D           407       653         8         2         9         0          1         0
  0048           611       513         7         2        11         4          3         0
  0049           602       614        12         4        15         1          6         0
  0050           376       333         3         2         5         2          1         0
  0051           285       465         9         3         6         4          4         0
  0052           623       628        12         4        13         5          2         0
  052A            52        48         0         1         0         0          1         0
  0053           271       351         8         3         8         2          2         0
  0054            20       273         8         0         5         0          3         0
  0055            24       267         0         1         3         0          0         0
  0056           131       228         3         1         4         3          1         0
  056A            12        75         0         0         5         1          1         0
  056B            75       172         1         0         6         2          1         0
  056C            49       193         1         1         6         0          3         0
  0057           341       597         8         2        15         2          4         0
  0058           425       340         9         4         5         3          3         0
  058A           472       421         8         2         1         1          2         0
  0059            52     1239         8         4        52         4         13         0
  059A             0         0         0         0         0         0          0         0
  0060            76       548         6         2         3         1          1         0
  0061           144     1110        10         4         5         1          6         0
  061A           206       215         1         0         2         1          0         0
  061B           198       368         5         4        10         4          0         0
  061C             9         7         0         0         0         0          0         0
  0062            72       857         2         2        46         1          6         0
  0063           278       264         3         2         6         0          1         0
  0064            60       675         6         2        13         1          7         0
  0065            24        23         0         0         0         0          0         0
  065A           277       409        10         2         6         1          1         0
  065B           115       264         6         0        13         1          2         0
  065C             8         7         0         2         0         0          0         0
  0066            73     1269         8         2        42         3          8         0
  0067            45       841         3         2        87         2          4         0
  0068           129       224         2         0         6         2          3         0
  0069            63       604         2         0        19         0          3         0
  069A            31       225         2         0         8         1          0         0
  0070            34       255         0         1         8         0          5         0
  0071           186       811         6         5        23         2          9         0
  071A           156       183         2         1         4         1          1         0
  0073             6        11         0         0         0         0          0         0
  073A           155       308         3         1         8         0          0         0
  073B           298       213         0         1         6         0          0         0
  073C            23        66         0         0         1         0          2         0
  073D            72       107         2         1         1         0          2         0
  073E           159       296         3         0         8         1          2         0
  073F            75        56         0         0         0         0          0         0
  073H           653       931        21         4         8         5          4         0
  073I             4        14         0         0         0         0          0         0
  0074           295       989         8         3        23         5          6         0
  074A            70       453         3         1        29         1          0         0
  074B           338       480         7         6         9         1          1         0
  074C           143       470         4         1        16         2          2         0
  074D            12        86         1         0         1         2          2         0
  074E           408       513         3         3         6         3          3         0
  074F           236       375         3         3        15         0          3         0
  074G           339       604         7         8        15         3          3         0
  0075            75       758         4         7        26         3          6         0
  0076            84       239         8         1         2         1          0         0
  076A           127       460         6         1         8         1          4         0
