precinct       vaughan    rossin      lowe
1  -99         -99          -99
1A  -99         -99          -99
1B  -99         -99          -99
1C  -99         -99          -99
2  -99         -99          -99
3  -99         -99          -99
3A  -99         -99          -99
3B  -99         -99          -99
3C  -99         -99          -99
4  -99         -99          -99
4A  -99         -99          -99
4B  -99         -99          -99
4C  -99         -99          -99
4D  -99         -99          -99
4E  -99         -99          -99
4F  -99         -99          -99
5  -99         -99          -99
5A  -99         -99          -99
5B  -99         -99          -99
5C  -99         -99          -99
5D  -99         -99          -99
5E  -99         -99          -99
6  -99         -99          -99
6A  -99         -99          -99
6B  -99         -99          -99
6C  -99         -99          -99
7  -99         -99          -99
7A  -99         -99          -99
8  -99         -99          -99
8A  -99         -99          -99
12  -99         -99          -99
12A  -99         -99          -99
12B  -99         -99          -99
12C  -99         -99          -99
12D  -99         -99          -99
12E  -99         -99          -99
13  00346       746        55
13A  064       131         9
13B  -99         -99          -99
13C  -99         -99          -99
13D  -99         -99          -99
14  -99         -99          -99
16  -99         -99          -99
16A  -99         -99          -99
17  -99         -99          -99
17B  -99         -99          -99
18  -99         -99          -99
18A  0370       781        69
18B  -99         -99          -99
18C  0352       927        53
18D  0532     1041        59
18E  -99         -99          -99
18F  088       216        14
18G  022        19         0
18H  08        29         1
18I  -99         -99          -99
18J  0362       894        44
19  00356     1212        46
19A  0476       739        38
20  0080       429        13
21  0063       423        12
21A  05        59         3
22  0071       734        14
23  0073       504        17
24  00142     1176        24
25  -99         -99          -99
25A  -99         -99          -99
25B  -99         -99          -99
26  -99         -99          -99
26A  -99         -99          -99
26B  -99         -99          -99
26C  0254       263        25
27  00240       684        44
28  -99         -99          -99
29  00241     1024        23
29A  0356       510        51
29B  056       703        24
29C  -99         -99          -99
29D  0292       483        47
29E  00         0         0
29F  06        44         5
30  00224       588        28
30A  0206       708        20
30B  0380       877        57
31  -99         -99          -99
31A  -99         -99          -99
31B  -99         -99          -99
31C  -99         -99          -99
31D  -99         -99          -99
31E  -99         -99          -99
31F  -99         -99          -99
31G  00         0         0
31H  02         0         0
32  00442       675        72
32A  0409       559        72
33  -99         -99          -99
34  -99         -99          -99
35  -99         -99          -99
36  0069        75         9
37  -99         -99          -99
38  -99         -99          -99
38A  -99         -99          -99
39  -99         -99          -99
40  0053       422         6
41  -99         -99          -99
41A  0291       398        37
41B  0609       808        89
41C  0356       470        46
41D  0423       609        71
42  -99         -99          -99
42A  -99         -99          -99
43  -99         -99          -99
44  0079       164        11
44A  -99         -99          -99
44B  041       205         7
44C  023        44         4
44D  00         0         0
44E  00         0         0
45  -99         -99          -99
45A  -99         -99          -99
46  -99         -99          -99
46A  -99         -99          -99
46B  -99         -99          -99
47  -99         -99          -99
47A  -99         -99          -99
47B  -99         -99          -99
47C  -99         -99          -99
47D  -99         -99          -99
48  -99         -99          -99
49  -99         -99          -99
50  -99         -99          -99
51  00216       531        21
52  -99         -99          -99
52A  -99         -99          -99
53  -99         -99          -99
54  0011       276         7
55  0019       280         4
56  -99         -99          -99
56A  -99         -99          -99
56B  -99         -99          -99
56C  -99         -99          -99
57  -99         -99          -99
58  -99         -99          -99
58A  -99         -99          -99
59  -99         -99          -99
59A  00         0         0
60  0065       559        15
61  00130     1088        36
61A  0175       239         4
61B  0166       380        27
61C  08         6         2
62  -99         -99          -99
63  -99         -99          -99
64  -99         -99          -99
65  0012        15         1
65A  -99         -99          -99
65B  -99         -99          -99
65C  -99         -99          -99
66  -99         -99          -99
67  -99         -99          -99
68  -99         -99          -99
69  -99         -99          -99
69A  -99         -99          -99
70  -99         -99          -99
71  -99         -99          -99
71A  -99         -99          -99
73  -99         -99          -99
73A  0136       297        23
73B  0289       199         7
73C  019        65         4
73D  061       109         6
73E  0132       279        25
73F  -99         -99          -99
73H  0613       882        67
73I  03        15         0
74  -99         -99          -99
74A  -99         -99          -99
74B  0303       457        38
74C  0123       460        48
74D  08        92         7
74E  -99         -99          -99
74F  -99         -99          -99
74G  0300       568        56
75  -99         -99          -99
76  0070       232        22
76A  0122       435        29
77  -99         -99          -99
77A  -99         -99          -99
78  00171       291        28
79  00154       502        37
81  -99         -99          -99
81A  -99         -99          -99
82  -99         -99          -99
83  0044       111        11
83A  -99         -99          -99
84  -99         -99          -99
85  -99         -99          -99
86  -99         -99          -99
86A  028        80         4
86B  -99         -99          -99
87  003         6         0
87A  087       176         8
87B  014        26         3
87C  -99         -99          -99
88  -99         -99          -99
88A  -99         -99          -99
88B  -99         -99          -99
89  -99         -99          -99
90  -99         -99          -99
91  00167       493        38
92  00225       378        28
92A  01         1         0
93  00495       610        76
93A  0336       365        39
93B  0568       684        95
94  00386       921        79
95  00232       408        51
95A  077       255        27
96  00154       235        19
96A  085       173        12
97  00364       454        33
97A  046       102         3
97B  -99         -99          -99
99  -99         -99          -99
100  -99         -99          -99
101  0300       364        28
101A  48        84        12
102  -99         -99          -99
103  -99         -99          -99
104  -99         -99          -99
104A  30        29         3
104B  -99         -99          -99
104C  18        26         6
105  -99         -99          -99
106  -99         -99          -99
107  0322       407        23
108  0240       425        42
108A  81       180        13
108B  20        36         2
109  -99         -99          -99
110  -99         -99          -99
111  -99         -99          -99
112  -99         -99          -99
113  -99         -99          -99
113A  -99         -99          -99
114  024       111         4
114A  -99         -99          -99
114B  -99         -99          -99
114C  -99         -99          -99
114D  4         3         0
115  -99         -99          -99
116  -99         -99          -99
117  -99         -99          -99
117A  -99         -99          -99
118  -99         -99          -99
119  -99         -99          -99
119A  -99         -99          -99
120  -99         -99          -99
121  -99         -99          -99
121A  -99         -99          -99
121B  -99         -99          -99
121C  -99         -99          -99
121D  -99         -99          -99
122  -99         -99          -99
122A  -99         -99          -99
123  -99         -99          -99
124  -99         -99          -99
124A  -99         -99          -99
124B  -99         -99          -99
124C  -99         -99          -99
125  -99         -99          -99
126  -99         -99          -99
127  -99         -99          -99
127A  -99         -99          -99
128  -99         -99          -99
128A  -99         -99          -99
128B  -99         -99          -99
128C  -99         -99          -99
128D  -99         -99          -99
128E  -99         -99          -99
128F  -99         -99          -99
128G  -99         -99          -99
128H  -99         -99          -99
128I  -99         -99          -99
128J  -99         -99          -99
128K  6         7         2
129  -99         -99          -99
129A  -99         -99          -99
130  -99         -99          -99
130A  -99         -99          -99
130B  -99         -99          -99
130C  -99         -99          -99
131  -99         -99          -99
131A  -99         -99          -99
132  -99         -99          -99
132A  -99         -99          -99
132B  -99         -99          -99
132C  -99         -99          -99
132D  -99         -99          -99
133  -99         -99          -99
134  -99         -99          -99
135  -99         -99          -99
135A  -99         -99          -99
135B  169       857        22
135C  -99         -99          -99
135D  -99         -99          -99
136  -99         -99          -99
137  0307       598        39
138  -99         -99          -99
140  -99         -99          -99
140A  -99         -99          -99
141  -99         -99          -99
141A  -99         -99          -99
142  -99         -99          -99
142A  -99         -99          -99
142B  -99         -99          -99
143  010        12         2
144  0320       728        35
144A  292       543        46
144B  350       728        55
144C  392     1092        71
144D  527       996        80
144E  356       783        60
144F  3         5         1
145  -99         -99          -99
146  -99         -99          -99
147  -99         -99          -99
147A  -99         -99          -99
148  -99         -99          -99
148A  -99         -99          -99
148B  -99         -99          -99
148C  -99         -99          -99
148D  -99         -99          -99
148E  -99         -99          -99
148F  -99         -99          -99
148G  -99         -99          -99
148H  -99         -99          -99
148J  -99         -99          -99
148K  -99         -99          -99
148L  -99         -99          -99
148M  -99         -99          -99
148N  -99         -99          -99
148O  -99         -99          -99
148P  -99         -99          -99
148Q  -99         -99          -99
149  -99         -99          -99
150  -99         -99          -99
150A  -99         -99          -99
150B  -99         -99          -99
151  -99         -99          -99
152  -99         -99          -99
153  -99         -99          -99
153A  -99         -99          -99
153B  -99         -99          -99
154  -99         -99          -99
154A  -99         -99          -99
154B  -99         -99          -99
154C  -99         -99          -99
154D  -99         -99          -99
154E  -99         -99          -99
154F  -99         -99          -99
154G  -99         -99          -99
155  -99         -99          -99
155A  -99         -99          -99
155B  -99         -99          -99
156  -99         -99          -99
156A  -99         -99          -99
156B  -99         -99          -99
156C  -99         -99          -99
157  -99         -99          -99
157A  -99         -99          -99
157B  -99         -99          -99
158  -99         -99          -99
159  0467       704        65
159A  -99         -99          -99
159B  -99         -99          -99
159C  -99         -99          -99
159D  -99         -99          -99
159E  -99         -99          -99
159F  -99         -99          -99
159G  -99         -99          -99
159H  -99         -99          -99
159I  -99         -99          -99
159J  307       424        39
159K  364       569        42
159L  -99         -99          -99
159M  -99         -99          -99
159N  -99         -99          -99
159O  0         0         0
159P  -99         -99          -99
159Q  -99         -99          -99
160  -99         -99          -99
161  -99         -99          -99
161A  -99         -99          -99
161B  -99         -99          -99
162  -99         -99          -99
162A  -99         -99          -99
162B  -99         -99          -99
162C  -99         -99          -99
162D  -99         -99          -99
162E  -99         -99          -99
162F  -99         -99          -99
162G  -99         -99          -99
162H  -99         -99          -99
162I  -99         -99          -99
162J  -99         -99          -99
162K  -99         -99          -99
162L  -99         -99          -99
163  -99         -99          -99
164  -99         -99          -99
165  -99         -99          -99
166  -99         -99          -99
166A  -99         -99          -99
166B  -99         -99          -99
