precinct         foley     brown   mcguire    writein
1  000649       375        22         0
1A  00668       206        13         0
1B  00656       330        15         0
1C  00674       262        21         0
2  0001030       393        21         0
3  000833       505        40         0
3A  00331       174        14         0
3B  00329       221         6         0
3C  00820       325        17         0
4  000436       324        20         0
4A  00467       288        21         0
4B  00712       318        13         0
4C  00325       202         2         0
4D  00678       436        22         0
4E  00383       239         7         0
4F  -99         -99          -99           -99
5  000305       219        13         0
5A  00697       426        32         0
5B  00953       564        35         0
5C  00421       171        10         0
5D  00617       336        31         0
5E  00304       150         6         0
6  000794       419        34         0
6A  -99         -99          -99           -99
6B  -99         -99          -99           -99
6C  -99         -99          -99           -99
7  -99         -99          -99           -99
7A  -99         -99          -99           -99
8  -99         -99          -99           -99
8A  -99         -99          -99           -99
12  00315       194        17         0
12A  0813       385        46         0
12B  0259        94         8         0
12C  0955       455        44         0
12D  0676       325        42         0
12E  00         0         0         0
13  00590       521        23         0
13A  0100        89         1         0
13B  072        53         5         0
13C  0157       134        10         0
13D  028        19         1         0
14  00672       230         9         0
16  00902       458        35         0
16A  0306       558         9         0
17  00253       199        15         0
17B  090        72         6         0
18  -99         -99          -99           -99
18A  0547       583        30         0
18B  0550       540        30         0
18C  0602       661        22         0
18D  0782       781        28         0
18E  -99         -99          -99           -99
18F  0139       157         3         0
18G  -99         -99          -99           -99
18H  -99         -99          -99           -99
18I  -99         -99          -99           -99
18J  0552       670        18         0
19  00626       888        16         0
19A  0664       545        22         0
20  00109       358        11         0
21  0087       371         5         0
21A  04        62         0         0
22  00129       635         6         0
23  00107       416        14         0
24  00355       902        14         0
25  00292       151        12         0
25A  -99         -99          -99           -99
25B  -99         -99          -99           -99
26  -99         -99          -99           -99
26A  -99         -99          -99           -99
26B  0288       216        21         0
26C  0385       139        13         0
27  00340       544        15         0
28  -99         -99          -99           -99
29  00421       802        12         0
29A  0534       351        26         0
29B  0146       578         4         0
29C  0400       237        16         0
29D  0472       342        15         0
29E  00         0         0         0
29F  016        35         3         0
30  00367       443        16         0
30A  0321       564         8         0
30B  0609       658        22         0
31  -99         -99          -99           -99
31A  0669       428        19         0
31B  -99         -99          -99           -99
31C  0303       240        15         0
31D  -99         -99          -99           -99
31E  -99         -99          -99           -99
31F  00         0         0         0
31G  00         0         0         0
31H  01         0         0         0
32  00737       435        24         0
32A  0633       377        44         0
33  -99         -99          -99           -99
34  -99         -99          -99           -99
35  -99         -99          -99           -99
36  -99         -99          -99           -99
37  00343       172         7         0
38  -99         -99          -99           -99
38A  02         0         0         0
39  -99         -99          -99           -99
40  0071       359         8         0
41  00776       650        41         0
41A  0453       231        19         0
41B  0909       556        49         0
41C  0516       331        20         0
41D  0631       434        45         0
42  00746       404        27         0
42A  0466       219        12         0
43  0035        38         0         0
44  -99         -99          -99           -99
44A  -99         -99          -99           -99
44B  -99         -99          -99           -99
44C  042        35         1         0
44D  00         0         0         0
44E  00         0         0         0
45  -99         -99          -99           -99
45A  -99         -99          -99           -99
46  -99         -99          -99           -99
46A  0170       116        10         0
46B  -99         -99          -99           -99
47  00560       423        38         0
47A  0917       418        29         0
47B  0548       324        12         0
47C  0832       432        14         0
47D  0568       442        14         0
48  -99         -99          -99           -99
49  -99         -99          -99           -99
50  -99         -99          -99           -99
51  -99         -99          -99           -99
52  -99         -99          -99           -99
52A  -99         -99          -99           -99
53  -99         -99          -99           -99
54  -99         -99          -99           -99
55  -99         -99          -99           -99
56  -99         -99          -99           -99
56A  -99         -99          -99           -99
56B  -99         -99          -99           -99
56C  -99         -99          -99           -99
57  -99         -99          -99           -99
58  -99         -99          -99           -99
58A  -99         -99          -99           -99
59  -99         -99          -99           -99
59A  -99         -99          -99           -99
60  00115       466         4         0
61  00277       851        13         0
61A  0244       152         1         0
61B  0254       300        12         0
61C  -99         -99          -99           -99
62  -99         -99          -99           -99
63  -99         -99          -99           -99
64  -99         -99          -99           -99
65  -99         -99          -99           -99
65A  0343       295        11         0
65B  0164       201         6         0
65C  011         6         2         0
66  -99         -99          -99           -99
67  -99         -99          -99           -99
68  -99         -99          -99           -99
69  -99         -99          -99           -99
69A  -99         -99          -99           -99
70  -99         -99          -99           -99
71  -99         -99          -99           -99
71A  -99         -99          -99           -99
73  -99         -99          -99           -99
73A  -99         -99          -99           -99
73B  0361       125         3         0
73C  -99         -99          -99           -99
73D  086        86         3         0
73E  -99         -99          -99           -99
73F  090        33         0         0
73H  0853       651        26         0
73I  05        11         0         0
74  00501       739        14         0
74A  -99         -99          -99           -99
74B  0454       337        17         0
74C  -99         -99          -99           -99
74D  -99         -99          -99           -99
74E  0546       350         6         0
74F  0341       250        11         0
74G  0476       439        21         0
75  -99         -99          -99           -99
76  -99         -99          -99           -99
76A  -99         -99          -99           -99
77  -99         -99          -99           -99
77A  -99         -99          -99           -99
78  00310       180         7         0
79  00242       402        15         0
81  -99         -99          -99           -99
81A  -99         -99          -99           -99
82  -99         -99          -99           -99
83  -99         -99          -99           -99
83A  -99         -99          -99           -99
84  -99         -99          -99           -99
85  -99         -99          -99           -99
86  -99         -99          -99           -99
86A  -99         -99          -99           -99
86B  -99         -99          -99           -99
87  -99         -99          -99           -99
87A  -99         -99          -99           -99
87B  -99         -99          -99           -99
87C  -99         -99          -99           -99
